DateID,Date,Year,Quarter,MonthNumber,MonthName,DayName
20250101,2025-01-01,2025,Q1,1,January,Wednesday
20250102,2025-01-02,2025,Q1,1,January,Thursday
20250103,2025-01-03,2025,Q1,1,January,Friday
20250104,2025-01-04,2025,Q1,1,January,Saturday
20250105,2025-01-05,2025,Q1,1,January,Sunday
20250106,2025-01-06,2025,Q1,1,January,Monday
20250107,2025-01-07,2025,Q1,1,January,Tuesday
20250108,2025-01-08,2025,Q1,1,January,Wednesday
20250109,2025-01-09,2025,Q1,1,January,Thursday
20250110,2025-01-10,2025,Q1,1,January,Friday
20250111,2025-01-11,2025,Q1,1,January,Saturday
20250112,2025-01-12,2025,Q1,1,January,Sunday
20250113,2025-01-13,2025,Q1,1,January,Monday
20250114,2025-01-14,2025,Q1,1,January,Tuesday
20250115,2025-01-15,2025,Q1,1,January,Wednesday
20250116,2025-01-16,2025,Q1,1,January,Thursday
20250117,2025-01-17,2025,Q1,1,January,Friday
20250118,2025-01-18,2025,Q1,1,January,Saturday
20250119,2025-01-19,2025,Q1,1,January,Sunday
20250120,2025-01-20,2025,Q1,1,January,Monday
20250121,2025-01-21,2025,Q1,1,January,Tuesday
20250122,2025-01-22,2025,Q1,1,January,Wednesday
20250123,2025-01-23,2025,Q1,1,January,Thursday
20250124,2025-01-24,2025,Q1,1,January,Friday
20250125,2025-01-25,2025,Q1,1,January,Saturday
20250126,2025-01-26,2025,Q1,1,January,Sunday
20250127,2025-01-27,2025,Q1,1,January,Monday
20250128,2025-01-28,2025,Q1,1,January,Tuesday
20250129,2025-01-29,2025,Q1,1,January,Wednesday
20250130,2025-01-30,2025,Q1,1,January,Thursday
20250131,2025-01-31,2025,Q1,1,January,Friday
20250201,2025-02-01,2025,Q1,2,February,Saturday
20250202,2025-02-02,2025,Q1,2,February,Sunday
20250203,2025-02-03,2025,Q1,2,February,Monday
20250204,2025-02-04,2025,Q1,2,February,Tuesday
20250205,2025-02-05,2025,Q1,2,February,Wednesday
20250206,2025-02-06,2025,Q1,2,February,Thursday
20250207,2025-02-07,2025,Q1,2,February,Friday
20250208,2025-02-08,2025,Q1,2,February,Saturday
20250209,2025-02-09,2025,Q1,2,February,Sunday
20250210,2025-02-10,2025,Q1,2,February,Monday
20250211,2025-02-11,2025,Q1,2,February,Tuesday
20250212,2025-02-12,2025,Q1,2,February,Wednesday
20250213,2025-02-13,2025,Q1,2,February,Thursday
20250214,2025-02-14,2025,Q1,2,February,Friday
20250215,2025-02-15,2025,Q1,2,February,Saturday
20250216,2025-02-16,2025,Q1,2,February,Sunday
20250217,2025-02-17,2025,Q1,2,February,Monday
20250218,2025-02-18,2025,Q1,2,February,Tuesday
20250219,2025-02-19,2025,Q1,2,February,Wednesday
20250220,2025-02-20,2025,Q1,2,February,Thursday
20250221,2025-02-21,2025,Q1,2,February,Friday
20250222,2025-02-22,2025,Q1,2,February,Saturday
20250223,2025-02-23,2025,Q1,2,February,Sunday
20250224,2025-02-24,2025,Q1,2,February,Monday
20250225,2025-02-25,2025,Q1,2,February,Tuesday
20250226,2025-02-26,2025,Q1,2,February,Wednesday
20250227,2025-02-27,2025,Q1,2,February,Thursday
20250228,2025-02-28,2025,Q1,2,February,Friday
20250301,2025-03-01,2025,Q1,3,March,Saturday
20250302,2025-03-02,2025,Q1,3,March,Sunday
20250303,2025-03-03,2025,Q1,3,March,Monday
20250304,2025-03-04,2025,Q1,3,March,Tuesday
20250305,2025-03-05,2025,Q1,3,March,Wednesday
20250306,2025-03-06,2025,Q1,3,March,Thursday
20250307,2025-03-07,2025,Q1,3,March,Friday
20250308,2025-03-08,2025,Q1,3,March,Saturday
20250309,2025-03-09,2025,Q1,3,March,Sunday
